# Export File Created with QBlade CE v2.0.9_beta windows on 24.05.2026 at 20:07:09
NREL's_S826_Airfoil_Re0.100_M0.10_N3.0 360 V;NREL's_S826_Airfoil_Re1.600_M0.10_N3.0
Angle of Attack [deg];Drag Coefficient Cd [-];Angle of Attack [deg];Drag Coefficient Cd [-]
-1.5500000e+02;3.2749113e-01;1.2000000e+01;2.8850000e-02
-1.5400000e+02;3.5190466e-01;1.3000000e+01;3.4660000e-02
-1.5300000e+02;3.7699327e-01;1.4000000e+01;4.2309999e-02
-1.5200000e+02;4.0272638e-01;1.5000000e+01;5.2080002e-02
-1.5100000e+02;4.2907265e-01;1.6000000e+01;6.4300001e-02
-1.5000000e+02;4.5600000e-01;1.7000000e+01;7.9449996e-02
-1.4900000e+02;4.8347560e-01;END;END
-1.4800000e+02;5.1146597e-01;END;END
-1.4700000e+02;5.3993702e-01;END;END
-1.4600000e+02;5.6885403e-01;END;END
-1.4500000e+02;5.9818184e-01;END;END
-1.4400000e+02;6.2788469e-01;END;END
-1.4300000e+02;6.5792638e-01;END;END
-1.4200000e+02;6.8827027e-01;END;END
-1.4100000e+02;7.1887946e-01;END;END
-1.4000000e+02;7.4971664e-01;END;END
-1.3900000e+02;7.8074419e-01;END;END
-1.3800000e+02;8.1192434e-01;END;END
-1.3700000e+02;8.4321916e-01;END;END
-1.3600000e+02;8.7459046e-01;END;END
-1.3500000e+02;9.0599996e-01;END;END
-1.3400000e+02;9.3740952e-01;END;END
-1.3300000e+02;9.6878082e-01;END;END
-1.3200000e+02;1.0000756e+00;END;END
-1.3100000e+02;1.0312557e+00;END;END
-1.3000000e+02;1.0622833e+00;END;END
-1.2900000e+02;1.0931205e+00;END;END
-1.2800000e+02;1.1237297e+00;END;END
-1.2700000e+02;1.1540736e+00;END;END
-1.2600000e+02;1.1841153e+00;END;END
-1.2500000e+02;1.2138181e+00;END;END
-1.2400000e+02;1.2431459e+00;END;END
-1.2300000e+02;1.2720629e+00;END;END
-1.2200000e+02;1.3005340e+00;END;END
-1.2100000e+02;1.3285244e+00;END;END
-1.2000000e+02;1.3559999e+00;END;END
-1.1900000e+02;1.3829273e+00;END;END
-1.1800000e+02;1.4092736e+00;END;END
-1.1700000e+02;1.4350067e+00;END;END
-1.1600000e+02;1.4600953e+00;END;END
-1.1500000e+02;1.4845088e+00;END;END
-1.1400000e+02;1.5082175e+00;END;END
-1.1300000e+02;1.5311925e+00;END;END
-1.1200000e+02;1.5534058e+00;END;END
-1.1100000e+02;1.5748303e+00;END;END
-1.1000000e+02;1.5954399e+00;END;END
-1.0900000e+02;1.6152096e+00;END;END
-1.0800000e+02;1.6341152e+00;END;END
-1.0700000e+02;1.6521338e+00;END;END
-1.0600000e+02;1.6692432e+00;END;END
-1.0500000e+02;1.6854228e+00;END;END
-1.0400000e+02;1.7006528e+00;END;END
-1.0300000e+02;1.7149146e+00;END;END
-1.0200000e+02;1.7281909e+00;END;END
-1.0100000e+02;1.7404654e+00;END;END
-1.0000000e+02;1.7517233e+00;END;END
-9.9000000e+01;1.7619509e+00;END;END
-9.8000000e+01;1.7711354e+00;END;END
-9.7000000e+01;1.7792661e+00;END;END
-9.6000000e+01;1.7863328e+00;END;END
-9.5000000e+01;1.7923269e+00;END;END
-9.4000000e+01;1.7972412e+00;END;END
-9.3000000e+01;1.8010696e+00;END;END
-9.2000000e+01;1.8038076e+00;END;END
-9.1000000e+01;1.8054518e+00;END;END
-9.0000000e+01;1.8000000e+00;END;END
-8.9000000e+01;1.8003337e+00;END;END
-8.8000000e+01;1.7995714e+00;END;END
-8.7000000e+01;1.7977147e+00;END;END
-8.6000000e+01;1.7947667e+00;END;END
-8.5000000e+01;1.7907318e+00;END;END
-8.4000000e+01;1.7856157e+00;END;END
-8.3000000e+01;1.7794254e+00;END;END
-8.2000000e+01;1.7721692e+00;END;END
-8.1000000e+01;1.7638570e+00;END;END
-8.0000000e+01;1.7544994e+00;END;END
-7.9000000e+01;1.7441088e+00;END;END
-7.8000000e+01;1.7326987e+00;END;END
-7.7000000e+01;1.7202835e+00;END;END
-7.6000000e+01;1.7068794e+00;END;END
-7.5000000e+01;1.6925035e+00;END;END
-7.4000000e+01;1.6771739e+00;END;END
-7.3000000e+01;1.6609101e+00;END;END
-7.2000000e+01;1.6437328e+00;END;END
-7.1000000e+01;1.6256636e+00;END;END
-7.0000000e+01;1.6067255e+00;END;END
-6.9000000e+01;1.5869421e+00;END;END
-6.8000000e+01;1.5663382e+00;END;END
-6.7000000e+01;1.5449399e+00;END;END
-6.6000000e+01;1.5227737e+00;END;END
-6.5000000e+01;1.4998677e+00;END;END
-6.4000000e+01;1.4762503e+00;END;END
-6.3000000e+01;1.4519511e+00;END;END
-6.2000000e+01;1.4270004e+00;END;END
-6.1000000e+01;1.4014293e+00;END;END
-6.0000000e+01;1.3752697e+00;END;END
-5.9000000e+01;1.3485541e+00;END;END
-5.8000000e+01;1.3213158e+00;END;END
-5.7000000e+01;1.2935886e+00;END;END
-5.6000000e+01;1.2654072e+00;END;END
-5.5000000e+01;1.2368063e+00;END;END
-5.4000000e+01;1.2078216e+00;END;END
-5.3000000e+01;1.1784890e+00;END;END
-5.2000000e+01;1.1488448e+00;END;END
-5.1000000e+01;1.1189259e+00;END;END
-5.0000000e+01;1.0887694e+00;END;END
-4.9000000e+01;1.0584126e+00;END;END
-4.8000000e+01;1.0278931e+00;END;END
-4.7000000e+01;9.9724859e-01;END;END
-4.6000000e+01;9.6651715e-01;END;END
-4.5000000e+01;9.3573672e-01;END;END
-4.4000000e+01;9.0494543e-01;END;END
-4.3000000e+01;8.7418133e-01;END;END
-4.2000000e+01;8.4348243e-01;END;END
-4.1000000e+01;8.1288677e-01;END;END
-4.0000000e+01;7.8243202e-01;END;END
-3.9000000e+01;7.5215596e-01;END;END
-3.8000000e+01;7.2209585e-01;END;END
-3.7000000e+01;6.9228888e-01;END;END
-3.6000000e+01;6.6277188e-01;END;END
-3.5000000e+01;6.3358128e-01;END;END
-3.4000000e+01;6.0475308e-01;END;END
-3.3000000e+01;5.7632291e-01;END;END
-3.2000000e+01;5.4832578e-01;END;END
-3.1000000e+01;5.2079630e-01;END;END
-3.0000000e+01;4.9376836e-01;END;END
-2.9000000e+01;4.6727538e-01;END;END
-2.8000000e+01;4.4134998e-01;END;END
-2.7000000e+01;4.1602418e-01;END;END
-2.6000000e+01;3.9132914e-01;END;END
-2.5000000e+01;3.6729535e-01;END;END
-2.4000000e+01;3.4395245e-01;END;END
-2.3000000e+01;3.2132918e-01;END;END
-2.2000000e+01;2.9945347e-01;END;END
-2.1000000e+01;2.7835220e-01;END;END
-2.0000000e+01;2.5805146e-01;END;END
-1.9000000e+01;2.3857622e-01;END;END
-1.8000000e+01;2.1995048e-01;END;END
-1.7000000e+01;2.0219721e-01;END;END
-1.6000000e+01;1.8533826e-01;END;END
-1.5000000e+01;1.7536999e-01;END;END
-1.4500000e+01;1.6908000e-01;END;END
-1.4000000e+01;1.6248000e-01;END;END
-1.3500000e+01;1.5537000e-01;END;END
-1.3000000e+01;1.4916000e-01;END;END
-1.2500000e+01;1.4222001e-01;END;END
-1.2000000e+01;1.3590001e-01;END;END
-1.1500000e+01;1.2846000e-01;END;END
-1.1000000e+01;1.2131000e-01;END;END
-1.0500000e+01;1.1502000e-01;END;END
-1.0000000e+01;1.0676000e-01;END;END
-9.5000000e+00;9.5559999e-02;END;END
-9.0000000e+00;7.8659996e-02;END;END
-8.5000000e+00;6.5279998e-02;END;END
-8.0000000e+00;5.3339999e-02;END;END
-7.5000000e+00;4.3710001e-02;END;END
-7.0000000e+00;3.6479998e-02;END;END
-6.5000000e+00;3.0730000e-02;END;END
-6.0000000e+00;2.6910000e-02;END;END
-5.5000000e+00;2.4280000e-02;END;END
-5.0000000e+00;2.2420000e-02;END;END
-4.5000000e+00;2.0609999e-02;END;END
-4.0000000e+00;1.8660000e-02;END;END
-3.5000000e+00;1.6440000e-02;END;END
-3.0000000e+00;1.6750000e-02;END;END
-2.5000000e+00;1.6810000e-02;END;END
-2.0000000e+00;1.6659999e-02;END;END
-1.5000000e+00;1.6550001e-02;END;END
-1.0000000e+00;1.6559999e-02;END;END
-5.0000000e-01;1.6600000e-02;END;END
0.0000000e+00;1.6690001e-02;END;END
5.0000000e-01;1.6829999e-02;END;END
1.0000000e+00;1.7010000e-02;END;END
1.5000000e+00;1.7240001e-02;END;END
2.0000000e+00;1.7500000e-02;END;END
2.5000000e+00;1.7800000e-02;END;END
3.0000000e+00;1.8139999e-02;END;END
3.5000000e+00;1.8530000e-02;END;END
4.0000000e+00;1.8950000e-02;END;END
4.5000000e+00;1.9370001e-02;END;END
5.0000000e+00;1.9810000e-02;END;END
5.5000000e+00;2.0280000e-02;END;END
6.0000000e+00;2.0819999e-02;END;END
7.0000000e+00;2.2450000e-02;END;END
7.5000000e+00;2.4540000e-02;END;END
8.0000000e+00;2.7130000e-02;END;END
8.5000000e+00;2.9870000e-02;END;END
9.0000000e+00;3.2790001e-02;END;END
9.5000000e+00;3.5909999e-02;END;END
1.0000000e+01;3.9340001e-02;END;END
1.0500000e+01;4.3049999e-02;END;END
1.1000000e+01;4.6920002e-02;END;END
1.1500000e+01;5.1860001e-02;END;END
1.2000000e+01;5.7190001e-02;END;END
1.2500000e+01;6.3110001e-02;END;END
1.3000000e+01;6.9700003e-02;END;END
1.3500000e+01;7.7079996e-02;END;END
1.4000000e+01;8.5320003e-02;END;END
1.4500000e+01;9.4260000e-02;END;END
1.5000000e+01;1.0420000e-01;END;END
1.5500000e+01;1.1493000e-01;END;END
1.6000000e+01;1.2671000e-01;END;END
1.6500000e+01;1.3970000e-01;END;END
1.7000000e+01;1.5389000e-01;END;END
1.7500000e+01;1.6888000e-01;END;END
1.8000000e+01;1.9408000e-01;END;END
1.8500000e+01;2.0299999e-01;END;END
1.9000000e+01;2.2618000e-01;END;END
1.9500000e+01;2.4260999e-01;END;END
2.0000000e+01;2.5351000e-01;END;END
2.1000000e+01;2.0896792e-01;END;END
2.2000000e+01;2.3054457e-01;END;END
2.3000000e+01;2.5291669e-01;END;END
2.4000000e+01;2.7605718e-01;END;END
2.5000000e+01;2.9993799e-01;END;END
2.6000000e+01;3.2453021e-01;END;END
2.7000000e+01;3.4980401e-01;END;END
2.8000000e+01;3.7572876e-01;END;END
2.9000000e+01;4.0227309e-01;END;END
3.0000000e+01;4.2940482e-01;END;END
3.1000000e+01;4.5709106e-01;END;END
3.2000000e+01;4.8529831e-01;END;END
3.3000000e+01;5.1399237e-01;END;END
3.4000000e+01;5.4313850e-01;END;END
3.5000000e+01;5.7270139e-01;END;END
3.6000000e+01;6.0264528e-01;END;END
3.7000000e+01;6.3293380e-01;END;END
3.8000000e+01;6.6353041e-01;END;END
3.9000000e+01;6.9439799e-01;END;END
4.0000000e+01;7.2549915e-01;END;END
4.1000000e+01;7.5679624e-01;END;END
4.2000000e+01;7.8825146e-01;END;END
4.3000000e+01;8.1982666e-01;END;END
4.4000000e+01;8.5148364e-01;END;END
4.5000000e+01;8.8318408e-01;END;END
4.6000000e+01;9.1488969e-01;END;END
4.7000000e+01;9.4656205e-01;END;END
4.8000000e+01;9.7816283e-01;END;END
4.9000000e+01;1.0096539e+00;END;END
5.0000000e+01;1.0409970e+00;END;END
5.1000000e+01;1.0721545e+00;END;END
5.2000000e+01;1.1030885e+00;END;END
5.3000000e+01;1.1337616e+00;END;END
5.4000000e+01;1.1641370e+00;END;END
5.5000000e+01;1.1941777e+00;END;END
5.6000000e+01;1.2238476e+00;END;END
5.7000000e+01;1.2531108e+00;END;END
5.8000000e+01;1.2819319e+00;END;END
5.9000000e+01;1.3102762e+00;END;END
6.0000000e+01;1.3381094e+00;END;END
6.1000000e+01;1.3653979e+00;END;END
6.2000000e+01;1.3921090e+00;END;END
6.3000000e+01;1.4182103e+00;END;END
6.4000000e+01;1.4436703e+00;END;END
6.5000000e+01;1.4684584e+00;END;END
6.6000000e+01;1.4925449e+00;END;END
6.7000000e+01;1.5159005e+00;END;END
6.8000000e+01;1.5384972e+00;END;END
6.9000000e+01;1.5603079e+00;END;END
7.0000000e+01;1.5813063e+00;END;END
7.1000000e+01;1.6014673e+00;END;END
7.2000000e+01;1.6207665e+00;END;END
7.3000000e+01;1.6391809e+00;END;END
7.4000000e+01;1.6566883e+00;END;END
7.5000000e+01;1.6732678e+00;END;END
7.6000000e+01;1.6888996e+00;END;END
7.7000000e+01;1.7035650e+00;END;END
7.8000000e+01;1.7172465e+00;END;END
7.9000000e+01;1.7299278e+00;END;END
8.0000000e+01;1.7415938e+00;END;END
8.1000000e+01;1.7522306e+00;END;END
8.2000000e+01;1.7618258e+00;END;END
8.3000000e+01;1.7703680e+00;END;END
8.4000000e+01;1.7778471e+00;END;END
8.5000000e+01;1.7842543e+00;END;END
8.6000000e+01;1.7895824e+00;END;END
8.7000000e+01;1.7938251e+00;END;END
8.8000000e+01;1.7969776e+00;END;END
8.9000000e+01;1.7990367e+00;END;END
9.0000000e+01;1.8000000e+00;END;END
9.1000000e+01;1.8054518e+00;END;END
9.2000000e+01;1.8038076e+00;END;END
9.3000000e+01;1.8010696e+00;END;END
9.4000000e+01;1.7972412e+00;END;END
9.5000000e+01;1.7923269e+00;END;END
9.6000000e+01;1.7863328e+00;END;END
9.7000000e+01;1.7792661e+00;END;END
9.8000000e+01;1.7711354e+00;END;END
9.9000000e+01;1.7619509e+00;END;END
1.0000000e+02;1.7517233e+00;END;END
1.0100000e+02;1.7404654e+00;END;END
1.0200000e+02;1.7281909e+00;END;END
1.0300000e+02;1.7149146e+00;END;END
1.0400000e+02;1.7006528e+00;END;END
1.0500000e+02;1.6854228e+00;END;END
1.0600000e+02;1.6692432e+00;END;END
1.0700000e+02;1.6521338e+00;END;END
1.0800000e+02;1.6341152e+00;END;END
1.0900000e+02;1.6152096e+00;END;END
1.1000000e+02;1.5954399e+00;END;END
1.1100000e+02;1.5748303e+00;END;END
1.1200000e+02;1.5534058e+00;END;END
1.1300000e+02;1.5311925e+00;END;END
1.1400000e+02;1.5082175e+00;END;END
1.1500000e+02;1.4845088e+00;END;END
1.1600000e+02;1.4600953e+00;END;END
1.1700000e+02;1.4350067e+00;END;END
1.1800000e+02;1.4092736e+00;END;END
1.1900000e+02;1.3829273e+00;END;END
1.2000000e+02;1.3559999e+00;END;END
1.2100000e+02;1.3285244e+00;END;END
1.2200000e+02;1.3005340e+00;END;END
1.2300000e+02;1.2720629e+00;END;END
1.2400000e+02;1.2431459e+00;END;END
1.2500000e+02;1.2138181e+00;END;END
1.2600000e+02;1.1841153e+00;END;END
1.2700000e+02;1.1540736e+00;END;END
1.2800000e+02;1.1237297e+00;END;END
1.2900000e+02;1.0931205e+00;END;END
1.3000000e+02;1.0622833e+00;END;END
1.3100000e+02;1.0312557e+00;END;END
1.3200000e+02;1.0000756e+00;END;END
1.3300000e+02;9.6878082e-01;END;END
1.3400000e+02;9.3740952e-01;END;END
1.3500000e+02;9.0599996e-01;END;END
1.3600000e+02;8.7459046e-01;END;END
1.3700000e+02;8.4321916e-01;END;END
1.3800000e+02;8.1192434e-01;END;END
1.3900000e+02;7.8074419e-01;END;END
1.4000000e+02;7.4971664e-01;END;END
1.4100000e+02;7.1887946e-01;END;END
1.4200000e+02;6.8827027e-01;END;END
1.4300000e+02;6.5792638e-01;END;END
1.4400000e+02;6.2788469e-01;END;END
1.4500000e+02;5.9818184e-01;END;END
1.4600000e+02;5.6885403e-01;END;END
1.4700000e+02;5.3993702e-01;END;END
1.4800000e+02;5.1146597e-01;END;END
1.4900000e+02;4.8347560e-01;END;END
1.5000000e+02;4.5600000e-01;END;END
1.5100000e+02;4.2907265e-01;END;END
1.5200000e+02;4.0272638e-01;END;END
1.5300000e+02;3.7699327e-01;END;END
1.5400000e+02;3.5190466e-01;END;END
1.5500000e+02;3.2749113e-01;END;END
1.5600000e+02;3.0378243e-01;END;END
1.5700000e+02;2.8080747e-01;END;END
1.5800000e+02;2.5859419e-01;END;END
1.5900000e+02;2.3716965e-01;END;END
1.6000000e+02;2.1655999e-01;END;END
1.6100000e+02;1.9679032e-01;END;END
1.6200000e+02;1.7788470e-01;END;END
1.6300000e+02;1.5986618e-01;END;END
1.6400000e+02;1.4275672e-01;END;END
1.6500000e+02;1.2657714e-01;END;END
1.6600000e+02;1.1134716e-01;END;END
1.6700000e+02;9.7085357e-02;END;END
1.6800000e+02;8.3809085e-02;END;END
1.6900000e+02;7.1534529e-02;END;END
1.7000000e+02;6.0276639e-02;END;END
1.7100000e+02;5.0049134e-02;END;END
1.7200000e+02;4.0864471e-02;END;END
1.7300000e+02;3.2733846e-02;END;END
1.7400000e+02;2.5667159e-02;END;END
1.7500000e+02;1.9673022e-02;END;END
1.7600000e+02;1.4758738e-02;END;END
1.7700000e+02;1.0930294e-02;END;END
1.7800000e+02;8.1923548e-03;END;END
1.7900000e+02;6.5482557e-03;END;END
1.8000000e+02;6.0000001e-03;END;END
